muhogo	Cassava
fubeereza	Dismay, confound
fubeerra	To slow down, be dismayed, draw back, slacken speed
fubika	To warp up.(a person)
bintu bibiri abakazi ebi bakira kufubikisa abaana baabo	There are two things which parents commonly use io wrapping their children
fubira	To punish, frustrate
Nyinenkuru nyowe akafubire batahi bange.	-my grandmother punished my friends.
fufuza	To go alone through dense forest,etc
obu yacwire omunkomo kuhika owaabu akafufuliza omukibira	When he escaped from prison he walked through a dense forest to reach home
fuguta	To pump, blow (bellows)
omuheesi aheesa n'omwojo ow'okumufutiraira omujuba; omujuba bagufugusa orulw orubohwa hankero yagwo	A black smith forges iron with a boy who blows the bellows for him; The bellow is pumped by pressing the skin tied on its nozzle
fuka	To grow cold, blow nose
amaizi akaba naagya kwoga akabanza kugafukya	He/she first made cold the water that he/she was going to use for bathing
fukaana	To wrestle
bakafukaanira harubaju rw'ekisaaru baitu hatabeho n 'omu ayanagire mugenzi we hansi	They wrestled at the side of a river but no one threw the other down
fukama	Used of breasts of young girls about 16 years of age
akaswerwa amabeere nigafukama kugwa	She got married at the age of 16 years, when her breasts were just begin ing to grow
fukiiriza	To cool with water, refresh
fukumuka	To come out in large amounts as water from ground (content of gourd)
fukumura	To shake out (contents of gourd )
fuleeteza	To tie tightly (as rope around the neck). Fuliiteza = ful eeteza, ku-, oku- v.tr
fuma	To prod,thrust
-omusuma bokamufumira omumadaara g'ekitobu.	-A thief was thrusted while he was under the bed.
fumba	To push away through (where there is no path)
nambere hataabaga nguudo abaana abaazindukaga, baafumbaga orume buli nyekya	Where there were no roads children who travelled early in the morning, had to pass through dewy grass on their way daily
fumbagiriza	To elbow one's way through, to push out of the way
fumbasa	To clasp
fumbata	To embrance,
fumura	To piece,bore,lance
funda	To be narrow, confined, cling to
oruguudo rufimdiire nambere rukaba rutasemeriire kufimdira	The road narrowed where it was not supposed to be narrowed
fundaana	To be crowded together, be stifled, be suffocated
funduka	To come up (esp. Mushrooms), grow (hump)
/.omaiso	Have protruding eyes
fumbatiza	To clasp in the hand
fundukura	To uncover, take the lid off
ky 'akohiecupa yo sooda kugifundukuzo amaino	It is dangerous to open a bottle of soda with fundura furuuta the teeth
fundura	Uncover
amaiso	Glare, stare
funduza	To show signs of coming out
omwana afundwize kuturuka	The baby is showing signs of coming out of the womb
funga	To fasten (e. G button)
fungwa	- hold up clothes
- fungwa ebijwaro	- she is holding up clothes or s ell.
fungiirra	To hold up (clothes)
funguka	To be djluted.
-Funguka obyokunywa ebyo	-dilute those drinks.
funuura	To masturbate, push back foreskin of penis
-batwasire omusigazi afunuura nyekyakara	-the boy was caught masturbating in the morning.
funya	To fold (trouser or sleeves)
-oyine kufunya esatii oli omukukora	-you are supposed to fold a shirt when u are working.
funyiirra	To turn up
-okufuunyiirra kubaho ayisomero	-you are supposed to turn up at school.
funyika	To crumple up, gather (in sewing)
furafura	To disparage, run down
tikihikire kufurafuurra omuntu omubantu	It is not right to disparage a person in public
furuka	To desert, migrate
-nkafuruka omuka	-I migrated from home.
furungu	To dilute too much, disparage, run down, change
-Ebigambo bye bakabifurungura tinukwo yabigambire,ati.	-they changed his words, that is not the way he/she said them.
furuuta	To be blistered, swell (as from bite or sting)
omubiri gwe gukaba nigumufurutira Kampala, obu yaizire Tooro gwaleka	His/her body used to swell while he/she was in Kampala, when he/ she returned to Tooro tt stopped
futana	To chew (soft substance), masticate
-maama akaba nafutana omubazi gwa akaana ke	-mother used to chew medicine for her child.
fuuha	To blow, snort
ente kukufuhira buli neekuseruza obulemu	If a cow snorts at you it is a sign of challenging you for a fight
fuuha	To avoid, be jealous of (wife or husband)
-nakufuuhira musijaa wee.	-She is jealous of her husband
fuuhiza	To say God forbid
-nfuuhize ekibi	-said by a diviner when his/her divination show that danger is imminent
fuuhya	To prevent (evil), ward off, forbid
fuuka	To bubble, boil fast, froth, foam lather
amaarwa g 'ebitooke gafuukira omubisisi; ekifaukisa amaanva nubwo obutagasi obugatunga gakyali omukiina	Plantain beer froths in the gourds where it is kept; What makes a plantain wine to froths is the heat it gets while in the hole where it is kept for fermentation
fuukeera	To breathe with difficulty through the nose, snore, have nose stopped up
afuukeerra omubwire bw 'embeho; abatabani bakamufuruurra Mwenge	He/she breathes with diffculty during the cold season; His/her sons helped him/her migrate to Mwenge
fuuta	To fill mouth with food
fuutafuutiika	To bundle in any how, to stuff
jaallima	To talk nonsense
jaagira	To waddle, straddle, walk with legs wide open due to pain
akahanda kafunzire nikalemesa arukujaagira kukajaagiirraamu	A narrow path makes it difficult for a straddler to straddle in it
jaagiza	To cause one walk with legs wide open
jaagura	To beat, dig on the surface.
jaagya	To strut about conceitedly, spread, do to excess
jaakaara	To spread (e.g. Epidemic, rumour)
kujaakaara kw 'endwara y 'omunywereerro kurogiirra ha bantu kwanga kuhuurra ebirukwegesibwa hali yo; emibu ejaakaaza omuswija; omunywereerro gujaalcaazibwa okuteesigangana kw'abarukugonzangana	The spread of HIV/AIDS is as a result of people's disobedience in observing what is being taught about it; Mosquitoes spread malaria; The spread HlV/AIDS is due to unfaithfulness among sexual partners. Oku-
jaamaara	To be dull, stupid, clumsy. Jaara,
jaara	To make a jarring noise, gambling game
ekijeerre kijaarra hamunwa gw 'ekiina kyakyo	A cricket will make a jarring noise at the mouth of its hole
jaata	To be sodden (millet flour), be clumsy, be worthless
jabagira	To bubble, seethe. Jabajabuka
jabajabura	To pull to pieces, to pull out threads
jabanganiza	To talk rapidly or indistinctly, mispronounce
jabiza	, to be excited
jabuka	To be chipped, broken.
haroho abasaija abagira engeso y 'okubajabuurra ebyokulya enjara obu eba ebali kubi; amujabwize ebyokulya bitakahiire	Ear, etc.), crop (ear), break a piece off; Some men are in the habit of asking their wives to give them food while it is being cooked when they feel hungry; He has made her to give him half cooked food
jagaata	To be hairy, be shaggy
jagajaga	To walk stiffly, awkwardly
naaganya kujagajagira omubantu	He/ she is troubled when he/she thinks of walking awkwardly among the people
jagaraza	To excite, spread out fingers
jagiriza	To flatter
jaguza	To rejoice, celebrate.
jaika	To gad about, roam about
jajura	To burn slightly causing to wither, superficialJy burnt, cook too fast, burn up
jakura	To snatch from
jaliga	To squelch (swamp)
jamajama	To jabber, babble
janguurra	To explain fully, put right what bad gone wrong
janjaara	To behave like a madman, roam about, spread
omuguwiraro ajanjaarra omubantu abamumanyire; omuntu aina obmwaire obukutuurra ayerinda kubujanjaaza omu bagenzi be	A mad person roams among people who know him/her; A person suffering from a contagious disease is always careful not to spread it to his/her neighbours
janjaba	To care for, nurse, treat, attend to
bakamusiima habw 'okujanjaba Isebo akamujanjabira ameezi mukaaga; tiinyina muntu w'okunjanjabisa omurwaire onu; akajanjabwa mukazi we	They thanked her for attending to their father, She cared for him for six months; I do not have anyone to help me with the care for this patient; He/she was cared for by his wife
janjagaarra	To be untidy, loose (esp. Bundle)
enkoko empangi ejanjagaraza amapapa gaayo eboine enkazi	A cock will spread its wings before a hen. To fasten or cover Loosely
jarabanga	To spoil, treat carelessly
jaragana	To be spread about (many things)
jaragatana	To be spread about
jaruka	To be lively (when intoxicated)
jeba	To be moist, sodden
jebeera	To wander about (hom eless person)
abazaire obu baafiire boona yateekereza h 'okujeebeerra haamubura	When all bis/her parents died he/she thought of places where to wander about without success
janjagurwa	Talk irrelevantly
janjalika	To fasten or cover loosely
Jeera	To roam, ramble
jega	To be loosely tied:
jegeja	To rain persistently
-enjura ekajegajera esaaha isatu zoona,	-it drizzled persistently for three full hours
jegejege	Loosely
jegema	To grow old and wrinkled, have swollen chicks
oburwaire yarwaire nubwo bwamujegemeze	It was illness that made him grow old and wrinkled
jegemera	To totter
jejegurwa	To be talkative, gossip
akabatanga kujejegulirwa omuka ye	He prohibited them from gossiping in his home
jegya	To loosen.
jeijcza	To attend, accompany.
jenga	To sing, dance (hill tribes)
jenja	To spread rumours
jenjeera	To wander about (insects)
jenjeka	To tie loosely.
jogeza	C
jogolekwa	To be talkative, be a chatterbox
jogolikana	=jol ekana
jogoma	To rumble (flatulence), also dogoma, duguma
jogomba	To walk like an old person
jogomora	To take out many or much (esp. From a, bundle), j. Ebikali (of child who wets the bed), urinate in or on
jogorwa	To be talkative
joimoka	To go out in the rain needlessly.
jonjogorwa	To tell what ''has happened, reveal secrets, gossip
jonjoma	To talk in a husky voice, mutter
jonjoora	To behave as a bull y.
jonjooza	To abuse, treat with contempt, harass;
jookooza	To spend one's time unprofitably, go out in the rain or at night
jookooza	To annoy with continual questions, bully, worry
jooliima	To speak lazily
juba	Adv., lately. J uba, ku-, oku-, v.i.•
enjura em11tiire yamujubya	It has rained on him/her · ' made him/her wet
juba	To weed
omuntu obu alWara omukanwa bamuha omubazi gw'okujubata	When a person complains of mouth sores they give him/her medicine to keep in the mouth for a while
jubuka	To be free of soap and dirt after being rinsed inclean water (cloth). J
jubura	To pass through or rinse in clean water, and then take it out in order to dry.
juga	To low, bellow, bleat
ente ejugira omwana gwayo;	A cow lows for its young;
juguma	To tremble, shiver
ajugumiire kwikara omumbeho atajwaire kooti; embeho emujugumize	He/ sheshivered because he/shestayed in the cold without a coat; Cold has made him/her shiver
jugumbya	To mobiUze, shake
jugunya	To throw away,
juma	To scold. Revile, abuse, blaspheme
akam11jumira obugara	He/she scolded him/her for laziness
jumagira	To walk with head bent
jumba	To grow fresh leaves, flourish
jumbika	Pass forrn, j umbikwa, ku-, oku-, 1{pf. -jumbikirwe)
jumbira	To finish paying dowry, be engaged to (a man), court
jumbinva	To be engaged to (a woman).
jumbukira	To fly out at, scold.
jumbutura	To raise one unexpectedly
jumbuurra	To give a child medicine (from mouth to mouth)
niinyija kukujumbuurra etaaba esaarra;	J am going to treat you with bitter tobacco as medicine; L
jumbuutukira	Pr
jumbuza	To make an early start, visit a neighbour very early in the morning
abaana baahanwaga okutajumbulizaaga omumaka g 'abandi	Children were advised not to make very early visits to other peoples homes
jumira	To low (cows calling calves)
ente ejumiirra omwana gwayo; ekijumiza ente nukwo okutarora omwana gwayo omumaiso	A cow lows for its young; What makes a cow low is failure to see its young in sight
jumuurra	Pr
juna	To rescue, save, help, succour
ataina w 'okumujunira tarwanira mu baingi; akamujunisa amaani ge; omuntu ajunwa obu atwara Yesu kuba Mukama we kandi mujuni we	He who has no one to rescue him/her in case he/she gets overpowered will not fight in public; Be/she rescued him/her by using his/her strength; A person is saved when be/she takes Jesus to be his/her Lord and persona] saviour
junaana	To claim, hold responsible blame
noojunaanwa omusango gw 'okwemereza motoka omukiikaro ekitaikiriziibwe	You are charged with parking a vehicle in a no parking area
junaaniza	To call to account for, concerning
). amagoba	Practise usury
junaaoizibwa	To be responsible
junda	To rot, go bad, spoil, decay
ebijuma ebijunzire tibiriibwa; ebyenju bikajundira omuly ahuurro; obugoigo; ebihimba bye bijunziibwe kuteerwa enjura	Rotten fruits are not eaten; Ripe plantains got rotten in the store; Obumu babanza k:ubujunza nukwo babuhooga, some sisal must be made to rot before people get fibre from it; Her beans are rotten for having been rain soaked
jundeera	To smouJder, glow
junga junjuruma ekikoomi baataireho ebinyansi bibisi kikajundeerra ebiro bibiri byona; bakata ebiti bibisi omumuurro ogurukubuguma byagujundeeza	A burning heap of grass to which wet grass was added smouldered for two days; They put fresh wood in the glowing fire and made it smoulder
juoga	To squeeze ju ice out of (plantains, etc.)
jungm1rra omwana obuheke bw'oburo a/ye	Rub in the bands husked millet grains so that a child may eat some. Jungi sa, ku-, oku-, v.c
jungutuka	To be moist and soft (soil)
ekijungutukya itaka nukwo kuba n 'orwezoorurungi	It is the manure in tbe soil that makes it moist and soft
junguurra	To discard, allow to fall into disuse. '
junira	To rescue
junjubara	To spread, grow big (trees), look very big and fearsome, (tuuma)
ebijwaroebimu bijunjubaza omuntu	Some clothing make someone look very big and fearsome
junjubura	To gnaw at voraciously
omuntu ataina maino Jasobora kujunjuburo enyama; tinkabonaga ekijunjumiirra nikijunjumiirra omunju	A toothless person will not gnaw at a piece of meat voraciously; I have never seen a carpenter bee buzzing from a house
junjumuka	To be hairy
abantu baingi nibeekaguza kiki ekimujujumukize bwangu kili	Many people are asking themselves what has made him/her grow so fast
junjuruma	To roar, hum
junjuura	To buzz
abaira baikirizaaga ngu enjunJuuzi tejunjuurra busa	People of the past believed that a buzzing bee would never buzz in vain
jura	To decline (sun)
Jura	To regret, yearn for, be home-sick
- ekyamujulize nukwo kuburwa amata aga yanywaga buli kiro	- what made him/her yearn is the lack of milk he/she used to drink daily.
jurru	Adv., intensive with lazy, very lazy person
jurubana	To be smeared all over, dirten yourself with soft mud from cattle dung when clearing it
juruguuta	To thrust, prod repeatedly (as when killing an animal).
juta	Ll' ' ' plump, chubby (little child)
juubya	To cook and then roast (unripe millet), j. Amatama, pout, look cross. Ju ujura, ku-, oku-, v.tr
juuka	To run away from the herd or other cattle
ente eny akuteegere ejuukira nambere enimi eri	A cow on heat will run away from its herd to where the bull is
juumara	To lie prone
juumib	To tum upside down
kulinda obwana bw'enkoko ebihungu abantu ba ira baabujuumikiraga ekigega	In order to prevent chicks from being preyed on by eagles. People of long ago would cover them with a basket. Juumildra, ka-, oku-, v.tr
juamilcinna	To invert on the top of, cover with inverted vessel. Juumu kura, ku-, oku-, v.rr
akamusaba amuj11umuku 11rre ekigega arole ekiri lransi yakyo	He/she requested him/her to tum the basket right way up so that he/she might see what was under it
juumura	To tum right way up; come to the help of;
juura	To take off clothes, undress, wear indecent clothing that shows private parts
jwara ekiteteei ekirailr ire otaija kufuurra abantu; omuzaire we akamu j uuzaamu on1goye orutasemeriire k11jwarwa	Dress descently lest you show your private parts to people; Her parent made her take off a dress which was not good for her to put on
juurra	To appeal. Refer to, cite, quote, give evidence.
juuruuka	To be undressed, fall off (cloth)
orugoye akaba aibire bakarumujuulizaamu omumaduuka	They forcibly made him/her take off the cloth he/she had stolen at the shops
juza	To politely, gently persuade father-in-law to lower the price (e.g. Bride price, dowry, fine), bargain for deduction
jwa	To flow, bleed, menstruate
izooba litujweriire; Ruhanga af wisa omusana	The sun has shone upon us; Omuf ungi ajwisa ensande, God causes the sun to shine, a plantain treader causes juice to flow from plantains
jwabiirra	To be untidy esp. Around the mouth after a meal or drink
jwabira	To be smeared all over
e zijwabiriire ebisajwa; nfwahire kubahaga ebiragiro bya11ge nimubicwa; abagenzi bajwal11ra muno hakutemba ensozi; abaana bato bajwahibwa kumara obusumi bwingi baikaliire	His/her fingers are smeared with fat all over. Jwa ha, ku-, oku -, v.i; I am tired of giving you my rules of which you always break; Travellers get more tired on climbing hills; Young children get tired when they sit for a long time
jwabisa	To make one tired, weary
jwahuka	To hurry, hasten, be eager, willing, hospitable
jwahukilrra	To do quickly or willingly, welcome gladly, be receptive.
jwaburuka	To be refreshed, take a rest
jwamba	To be dirty
jwambura	To do quickly
jwangana	-to mix together
tegwire	I t bas not fallen {cl.4), tefiire, it has not died (cl.9). Ta- Negative prefix after a personal prefix or a pronomina l concord: ntamubone, Idid not see him
ta	Negative prefix, before U1esingularsubject second and third person prefixes,o- and a-,respectively and subject pronominal concord for classes 4 and 9
ekitabu nkitaire hameeza; nteera ekitabu kyange kinu hameeza; omukono gukateebwaho omuhilcirwa. the Prime minister signed. -ta	I have put the book on the table; Put this book of mine on the table; \ Modal particle, that requires a subj. Personal prefix or pronom. Concord to express an intorogative adv., meaning, how? Abakazi balima bata? How do women dig? Ente zijuga zita? Bow do cattle mow? Oroho ota? How are you? Taaba, e-, n.cl.9
taabaana	To be over burdened with work, wander, scatter, grope, look or cry for help in vain
isebo obu yafiire bakataabaanira omubiikaro ebitali bimu; okufa kwa isebo kuka bataabaniza	When their father died, they scattered in different places; The death of their father made them scatter
taabataabaana	To work all alone, to be tossed about, to search for help in vain
nitutaabataabanira omunsi omw 'iguru tuliiteekaana	We are searching for help here and there without success on earth, but we shall search no more in heaven
taaga	To be in great distress and need, cry out for help
omusaiJa amutaagisize; akakira kutaagisibwa kumuteeza eldJumbura	The man has made him/ her cry out for mercy; What caused him/her to cry out for help most was being struck with stinging leaves
taagataagura	To tear in pieces, devour
ekisoro embwa zikakitaagatagurazaakirya kyona	The dogs devoured the animal and ateitall
taagira	To beg for mercy
akataagira owanyina kwija kumuJunira, baitu yasangwa ataroho	He/she appealed to his/her brother to come to his/her rescue, but she/she was not around
taaguka	To be torn, laugh loudly
-aminah ataaguka muno	-aminah laughs loudly.
taagura	To tear in pieces, mangle, rend
akamunyegeerra habw 'okumutaaguurra orugoyerwe; ekiniga kikamutaaguza ebbaruha ezi akaba amuhandiikiire	He/she accusedhim/her for tearing his/her cloth; Indignation caused her to tear the letters he had written to her
taaha	To arrive, enter, go home
obugenyi; banywani be baizire kumutaahira obugenyi; obugenyi bw'omutabani bukataalrwa abantu baingi	Attend party; His friends have come to attend bis wedding; His son's wedding was attended by many people
taahtirra	P1:2
Bahemuka araire ataahiriirwe abasuma	Last rught burglars broke into Bahemuka 'spouse
taahira	To take poseession of site that bas been left by someone else
taahirirwa	Be sulky, sullen
-ogu ataahiririrwe omwegenderezeege obu araabaga noobaza nawe	-that man is sullen, you should be careful when talking to him
taahirwa	Pass
ira omun111 obu yataahinvaga abagenyi yayetaga abantu ab 'okwija kubaza nabo	In the past when a person got visi tors, be/she would invite some people to come and keep tbem company
to make enter; Barwenda akataahisa empisi obugenyi. Barwenda invited a hyena to a wedding	Attend wedding; (he that wants trouble)
taahisa	To generate income to the owner of an activity
omunyoro akataahya omufuruki 0mu kibanja ekikaba kiri kya Bisereko	The chief gave the emigrant the site that was deserted by Bisereko
taahya	To receive present from a superior
obu akaba naamara obuheereza bwe mb '0mukama akataahya enyana; t. omukazi	When he ended his service at the palace he received a heifer from the King; To marry
taahya	To make to arrive, cause to enter
-kinwa kya nte kitaahibwa Rubaga	-it is by Gods Grace that the mouth of a cow comes back home safely
taakura	To scratch (as hen or dog) in ground
enkoko kutaakuurra obwana bwayo obuhuka etaakuza enono zaayo	A hen uses its claws in order to scratch for insects from the ground for its chicks
taama	To be clumsy, careless, stupid
taamataamura	To tear in pieces, raven,
ekiniga kikamutaamataamuza ekisisani bakaba batiirwe bombi	Fury made her tear into pieces the photo they had taken together
taamuka	To be torn
orugoye rwe rukataamukira omukizaaniro nibazaana	Her/his cloth was tom while they were playing inthe play ground
taamura	To tear
akamulehesa habw 'okumutaamtwrra orugoye rwe	He/she fined him/her for tearing his cloth
taana	To be next to (separated by a boundary), border on, be adjacent, separate, take different roads
ebibanja byabo nibitaanira hakasozi eruguru	Their plots border each other right on top of the bill
taaruuka	To walk aimlessly (as one in despair), wonder about
rwebagyo mmuboinege naataaruuka; Baitu tiimmanyirege mbere abaire naataaruukira enaku nizimutaaruukya	Yesterday evening walking aimlessly and Icould not tell where he was walking to; Necessitfos are making him/her walk aimlessly
taata	. My father, reply to a call, term of respect
-Oraire Ota Taata?	-Good morning Sir/ Father
taatlirra	To worry about oneself
Mukama akagamba ali Weena anya kutaatii"a obw 'omeezi bwe alibufeerwa	, the Lord said that whoever worries about his/her life, will lose it
taba	To be many coloured
erangi z'omukeeka gunu itabire	The colours of this mat are mixed up
taba	To join, sew together
ekinyege kyange nyamutaba kyantaba n'abataahi; enkinzo batabisa omukeeka bagyeta orukato	My rattle the gatherer has caused misunderstandings between me and the neighbours; The needle they use to weave the mat is called orukato, pass. Form, tabwa, ku-, oku-
tabaara	To go to war, go up to the capital or to the King's palace to meet the King. Tabaaro,
akamutuma kumutabaliirra egaali ye; akamusaba kumutabaaliza ebintu bye	He/she sent him to pick bis bicycle; He requested him/her to join him/her fetch his/her things
Tabaarukya Tabaaza	To welcome home a person from battle or from a long distance To make to go far
obutamanya butabaaza araafa; omukama atabaazibwa abantu baingi muno	Ignorance makes one go for a war; A King is buried by very many people
tabaijuka	To stumble, trip up, save oneself by running a few paces.
- akateerwa enkonge yatabaijuka yagwa,	- he/she stumbled upon a stone and then fell down
tabaijura	To make to stumble
tabanganiza	To mix together
tabanguka	To be stirred up, become muddy. To stir up, upset
tabatabuka	To get worse, spread (sores)
tabika	To mix, join together
tabira	To cover with soil, to cover beer in a hole for fermentation
tabirana	To weave in coloured threads, mix colours together
tabiza	To bring trouble on, get (another) into trouble
tabuka	To be boiling hot, escape, survive
akatabukira hake kufa	He survived death narrowly
tabukatabuka	To be stirred up, mixed, in a muddle
tabura	To stir up, mix, miss, fail to hit, save, rescue
-Akamutabuurra hake kumutomera	-he nearly knocked him/her down
tabya	To create a wrangle
tadooba	Small kerosene lamp
taga	To be happy, carefree
omwana obu aba ali omba nyinenkuru ataga	A child becomes carefree while at it 's grandmother's home
tagaarra	To take up much space, spread out, extend
abaikoarra omumatoko bafunzire tibatagaraza maguru gaabo	Those who sit in a car in excess do not spread out their legs
tagaija	To be frolicsome, gay
kutagaija kw 'abaana kookuroorraaho k 'eko erumu okusemererwa; babairege nibatagaizira omuzigati y'owaabu	The frolicsomeness of children is a sign of happiness in a home; They were playing gaily in their compound
tagaizira	To mock, speak sarcastically to
tagangara	To be puzzled, distracted, stumble
tagasa	To heat, warm up
amaizi bagatagasiza omusafaliya	Water is boiled in a sauce pan
tagata	To become warm
amaizi gatagatira esaaha nke baitu gatwara esaaha nyingi kufako	Water takes a short time to become warm but a long time to become cool
tagiza	To be joyful, be happily busy, dash about excitedly
taha	To draw (water}, bale ladle out
omuntu mukuru obu agenda haiziba, asemeriire kumutahira amiazi,	When an old person goes with a child to the well he/she must draw water for the young one
tahata	To bold or carry carefully on open palm
amata gatahatwa ayagatahasire	Atakagatahataga, tagatahata, milk in a wooden vessel is carefully carried on open palm by a person who has ever carried it so, one who has never done so is not able to do so
tahisa	To draw water with, let down (pitcher, etc.) for water
tahuka	To stagger, be weak (after purge)
tahura	To push forcibly, take along by force
omubazi anywire gumutahwire muno gwamumara amaani	The medecine he/ she bas taken has made him/her weak (as a result of being purged)
tahyatahya	To be undecided, waver, ramble
taiga	To go many times
taisa	To drop, miss, fail to hit or catch
taisuka	To slip and fall, escape
akaba naagya kuhandiika ekalaamu yamutaisuka yagwa; akataisukira om11muhanda yain1ka yamusig a	As he/she was going to write, the pencil slipped out of his hands and fell down; He/she escaped from him/her while on the way.
taisukaniza	To separate, divide into pieces
abateezi b'entomihobo n 'omumu w 'olmbataisukaniza omukuteerangana kwabo	Boxers in the game of fighting are separated by a referee
taisura	To let slip, let go, release
omuhiigi obu abona enyamaiswa ataisura embwa ze kugihambya; omusaija ayataisuliire abagenzi embwa ze bakamutaho omusango; omunyankomo ataisw1n11e	When a hunter sights an animal, he releases his dogs to chase it; The man who released his dogs to travellers was charged with a criminal case; The prisoner has been released. -taito, adj. Small, little, tinny, few, =ke
Tajeemerwa	One of the Royal drums
talibana	To work alone and very hard, do ail the work oneself
-namwandu atalibana muno wenka omumakage.	-the widow always works alone at her home.
taliga	To be busy
-taata ataliga muno buli runaku.	-my dad is always busy in a day.
taliikiriza	T dry at fire
taliiriza	To turn a side, avoid
nkabasanga beemeriire omumuhanda hagati Nyowe nata/iiriza mpora nabarabaho	, l found them standing in the middle of the way and turned aside and passed by them
talika	To dry meat over the fire grill
obu anywa amaanva; kira ebiro bisalu	Mukazi we araara amuta/ikire,, when he takes alcohol he scolds his wife till morning; For meat to be quHe dry, it is grilled for three days
talikiza	To sit with legs wide apart
akaanya kataito obu orukukatalikirizaamu abantu abandi nibaburwa h 'okwikaarra	If you sit with legs apart in a small space, other people will not have where to sit.
taliza	To leave (tree) in the ground, disturb, hinder
tama	To disgust, sicken, weary
akantamira orugambo nve; obu obazaaho kubi mugenzi waawe omutamisa abantu; akatamwa buli muntu	Be/she makes me disgusted because of rumour mongering; If you spek iU of your neighbour you make people be weary of him/her; Every one gets sick of him/her
tamba	To execute, offer (sacrince), cure, heal, ward off
poliisi ekatamba kukwata omusuma owaakaba atuntwize ekyaro; omufumu onu atambira sente nke muno; atambisa emibazi y 'Ekitooro; enu endwara neetambwa Abarukwiragura	The police did a commendable job to arrest a thief who used to terrorize people in the village; This doctor asks for very little money for treatment; He/she uses Kitooro herbs to cure people of their diseases; This disease is curable by African traditional healers
tambikiza	Pr. Of c. Form, tambikiriza, ku-, oku-
toina mbere oratambikiriza amagun1, Omwanya oikaliremu mufunda	, you have not enough space where to stridey our legs
tambuka	To stride across, step over
akamttjunaana habw 'okumutambukira ebyokulya	He/she blamed her/him for having strode across his/her food
tamburra	Tambuurra tana to distribute meat (esp. Remains of carcass to hunters)
amagun1; e11yama y'ekisoro bagitambuurra omukisaka; enyama y'ekisoro ky'omukisaka etamburwa hali abo bonka abagihiigire	Stride; Meat from the carcass of an animal killed by bunters is distributed while the hunters are in the bush; Meat of a hunted animal is shared only among those who participated in the bunt
tambuurra	To remove a spell, exorcise
tamiira	To get drunk, become intoxicated
atamiire amaanva g 'ebitooke; amaarwa tibagatamiirra buko	He is drunk of banana wine; People do not get drunk at the home of their in-laws
tamiirukuka	To get sober, wake from drunken sleep
obu yatamiire akatamiinikukira ekiro kyo11a; ebicwe by'enyama nibyo byamwamiinikukize	When he/she got drunk it took him/her the whole day to get sober; He/she was helped by meat soup to get sober
tamika	To put food into mouth of (another)
omwwaire bamutamikil'a kubunva amaani g'okwetamika; omuntu ebyokulya bakira kubimutamikisa egiiko	People put food into the mouth of a patient because he/she is unable to put it into his/ her mouth; We use a table spoon to put food into one's mouth
tamura	To take out of mouth of another (usually child)
amata abaire naanywa abasuma bagamutamwire kwiba ente ye	The thieves have deprived him/her of the milk be/she has been drinking following the theft of bis/her cow
tamuza	To remove sucking calf from one teat to another so as to induce milk in all teats
tamwa	To be weary of, hate, loathe
tamya	To induce disgust
ekillooya kye kitanire; ataniire Kasunganyanja; atanire kumanya habwaki omwana wange atii1·e owe	Nikyetaaga omubazi ogw 'amaani kukiraho, his/her sore has grown worse, it needs much more strong medicine to heal it; Be/ she has taken hls/her commodities to Kasunganyanja market; He/ she came angrily to find out wby my child hit his/hers
tanaka	To vomit, be sick
abaana nubo bakanya muno kutanakira omubbaasi; haroho emibazi enyakutanakya abarwaire	It is mostly children who vomit in buses while traveling; There are some medicines which make patients vomit
tananuka	Inconvincible
tanda	To stride, take a long step
amaguru	Stand astride
tandaaza	To spread (e.g. Cement)
enju ye abafundi bakagitm1daaliza ebiro bisatu	Builders took three days to spread cement on the floor of his house
tandagaraza	To spread out the legs
tandalika	To stretch out (as a tent)
tandama	To stand astride,kneel with legs apart
tandiika	To saddle, harness (a riding animal)
tandika	To start work, start to narrate, begin a job etc
obulemu obw 'okucungw·a Uganda bukatandikira luwero; Tusiime agonza muno omwegesa we ayamutandikisize kusoma n 'okuhandiika; obulemu obwa kabiri obw 'ensi yoona bukatandikwa Adolf Hitler (1939 - 1945)	The war to liberate Uganda started in Luwero; Tusiime loves his teacher who first taught him how to read and write; The second world war was started by Adolf Hitler in ( 1939 - 1945)
tandukuurra	To unsaddle, clear away
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba agenzire	He/ she found that we had already finished eating and the table had already been cleared up. Tangs. She had already gone, but her husband stopped her while on the way
Tangiira	To meet and welcome a guest
tangaara	: to be astonished, wonder, marvel
abantu bakatangaarra ebyamahano yabakoorraaga	People maf\>eled at the miracles he performed before them
tangaaza	To astonish, look through a telescope
tangiirra	To meet and welcome a guest
Omuroleerezi bamutangiririire omumaduuk.a Fort po11al; omukuras1 wabo bakamutangiriza elcimuli; akabatangisiza habw.okugya habbaasi	The Bishop was welcome at the shops, in Fort portal; They welcomed their councilor with a bouquet of flowers-; He/she gained advantage at their epense because he/she was going to the bus park
tanisa	To take for sale, make septic
agiire kutanisa ebihimba bye; ente zigira akatale kaazo aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	She has taken her beans to market; Cattle have their own market where people take them for sale; Onions are sold at Hima market
tanuka	To grow worse, spread
