runyoro_term,english_term,part_of_speech,domain,definition_en,notes
embanza,[GENERAL_NOUN] beginning,,general,,
embone,[GENERAL_NOUN] eyelids,,general,,
emboyi,"[GENERAL_NOUN] bully, tyrant",,general,,
emeeza,[GENERAL_NOUN] table,,general,,
emera,"[GENERAL_NOUN] shape, appearance",,general,,
emenge,[GENERAL_NOUN] blaze,,general,,
emibbwebbwe,[GENERAL_NOUN] half-cooked potatoes,,general,,
emigaramo,"[GENERAL_NOUN] idleness, leisure",,general,,
emitego,[GENERAL_NOUN] bowed legs,,general,,
embugo,[GENERAL_NOUN] bark cloth,,general,,
emengo,[GENERAL_NOUN] grinning stones,,general,,
emirabanamu,[GENERAL_NOUN] bothersome problems,,general,,
emilyoni ikumi,[GENERAL_NOUN] ten million,,general,,
empande,[GENERAL_NOUN] Bambara nuts,,general,,
emilyoni,[MATHEMATICS_NOUN] one billion,,general,,
eminwa,[GENERAL_NOUN] lips,,general,,
eminyeeto,[GENERAL_NOUN] the youth,,general,,
emirembe emitalibaine,[GENERAL_NOUN] peace,,general,,
empuka,[GENERAL_NOUN] east wind,,general,,
empuunisa,[GENERAL_NOUN] nasal sounds,,general,,
ebisigi,[GENERAL_NOUN] eyebrows,,general,,
ebiteere,[GENERAL_NOUN] dried cassava,,general,,
ebyenda,"[GENERAL_NOUN] intestines, offals",,general,,
ebyohyo,[GENERAL_NOUN] roastings,,general,,
ebyoya,[GENERAL_NOUN] hair,,general,,
efirimbi,[GENERAL_NOUN] whistle,,general,,
eboote,[GENERAL_NOUN] the aged,,general,,
ebyakwahwa,[GENERAL_NOUN] armpit hair,,general,,
ebyamaka,[GENERAL_NOUN] family matters,,general,,
ebyari,[GENERAL_NOUN] rags,,general,,
ebya Sitaani,[GENERAL_NOUN] evil acts,,general,,
ecupa,[GENERAL_NOUN] bottle,,general,,
edubu,[GENERAL_NOUN] Sear,,general,,
egomborra,[GENERAL_NOUN] sub-county,,general,,
egyambiya,[GENERAL_NOUN] machette,,general,,
ejoora,[GENERAL_NOUN] roll ofcloth,,general,,
ekambi,[GENERAL_NOUN] hard working,,general,,
ekelezia,[GENERAL_NOUN] church,,general,,
ekibako,[GENERAL_NOUN] tomb,,general,,
ebibako,[GENERAL_NOUN_PLURAL] tombs,,general,,
ebibaara,[GENERAL_NOUN_PLURAL] ekibaaras,,general,,
ekibanda,[GENERAL_NOUN] carpenter's shade,,general,,
ebibanda,[GENERAL_NOUN_PLURAL] carpenter's shades,,general,,
egaali,[GENERAL_NOUN] bicycle,,general,,
egaragara,[COMMON_ANIMALS_NOUN] lizard,,general,,
egi,[GENERAL_NOUN] which,,general,,
ego mail,[GENERAL_NOUN] truly,,general,,
ekanisa,[GENERAL_NOUN] church,,general,,
ebirego,[GENERAL_NOUN_PLURAL] secret accusations,,general,,
ebiremba,[GENERAL_NOUN_PLURAL] head- cloths,,general,,
ekiriisa,[GENERAL_NOUN] fertility/ nutrition,,general,,
ebiriisa,[GENERAL_NOUN_PLURAL] fertility/ nutritions,,general,,
ekirubi,[GENERAL_NOUN] a furnace,,general,,
ebirubi,[GENERAL_NOUN_PLURAL] furnaces,,general,,
ekirongooro,[GENERAL_NOUN] return present,,general,,
ebirongooro,[GENERAL_NOUN_PLURAL] return presents,,general,,
ekirungo,"[GENERAL_NOUN] seasoning, spice",,general,,
ebirungo,"[GENERAL_NOUN_PLURAL] seasoning, spices",,general,,
ekireego,[GENERAL_NOUN] taut string,,general,,
ebireego,[GENERAL_NOUN_PLURAL] taut strings,,general,,
ekirenge,"[GENERAL_NOUN] hoof, foot",,general,,
ebirenge,"[GENERAL_NOUN_PLURAL] hoof, foots",,general,,
ekirooto,[GENERAL_NOUN] a dream,,general,,
ebirooto,[GENERAL_NOUN_PLURAL] dreams,,general,,
ekirukirro,[GENERAL_NOUN] nickname,,general,,
ebirukirro,[GENERAL_NOUN_PLURAL] nicknames,,general,,
ekisa,[GENERAL_NOUN] labour pain,,general,,
ebisa,[GENERAL_NOUN_PLURAL] labour pains,,general,,
ekisabiko,[GENERAL_NOUN] herbal purgative,,general,,
ebisabiko,[GENERAL_NOUN_PLURAL] herbal purgatives,,general,,
ekisanju,[GENERAL_NOUN] whip,,general,,
ebisanju,[GENERAL_NOUN_PLURAL] whips,,general,,
ekisegu,[GENERAL_NOUN] sexual urge,,general,,
ebisegu,[GENERAL_NOUN_PLURAL] sexual urges,,general,,
ekisengiijo,[GENERAL_NOUN] filter,,general,,
ebisengiijo,[GENERAL_NOUN_PLURAL] filters,,general,,
ebisutama-hamwe,[GENERAL_NOUN_PLURAL] traditional stools,,general,,
ekisaatu,"[GENERAL_NOUN] skin, hide",,general,,
ebisaatu,"[GENERAL_NOUN_PLURAL] skin, hides",,general,,
ekisago,"[GENERAL_NOUN] a pillow,cushion",,general,,
ebisago,"[GENERAL_NOUN_PLURAL] pillow,cushions",,general,,
ekisarazi,"[GENERAL_NOUN] numbness, cramp",,general,,
ebisarazi,"[GENERAL_NOUN_PLURAL] numbness, cramps",,general,,
ekisengeijo,[GENERAL_NOUN] strainer,,general,,
ebisengeijo,[GENERAL_NOUN_PLURAL] strainers,,general,,
ekisonga,[GENERAL_NOUN] chest pain,,general,,
ebisonga,[GENERAL_NOUN_PLURAL] chest pains,,general,,
ekisurugu,[GENERAL_NOUN] groundnut husk,,general,,
ebisurugu,[GENERAL_NOUN_PLURAL] groundnut husks,,general,,
ebisizi,[GENERAL_NOUN_PLURAL] plant diseases,,agriculture,,
ekisyarazi,[GENERAL_NOUN] stagnant water,,general,,
ebisyarazi,[GENERAL_NOUN_PLURAL] stagnant waters,,general,,
ekitaba,[GENERAL_NOUN] ditch,,general,,
ebitaba,[GENERAL_NOUN_PLURAL] ditches,,general,,
ebitabaswa,[GENERAL_NOUN_PLURAL] suit cases,,general,,
ekitaka,[GENERAL_NOUN] a clod,,general,,
ebitaka,[GENERAL_NOUN_PLURAL] clods,,general,,
ekisiika,"[GENERAL_NOUN] partition,wall, room",,general,,
ebisiika,"[GENERAL_NOUN_PLURAL] partition,wall, rooms",,general,,
ekisindikwa,"[GENERAL_NOUN] turf, sod",,general,,
ebisindikwa,"[GENERAL_NOUN_PLURAL] turf, sods",,general,,
ekisinziro,[GENERAL_NOUN] heel,,general,,
ebisinziro,[GENERAL_NOUN_PLURAL] heels,,general,,
ekisirya,"[GENERAL_NOUN] calabash, gourd",,general,,
ebisirya,"[GENERAL_NOUN_PLURAL] calabash, gourds",,general,,
ebisomabwire,[GENERAL_NOUN_PLURAL] nightjar birds,,general,,
ekisonko,[GENERAL_NOUN] sea shell,,general,,
ebisonko,[GENERAL_NOUN_PLURAL] sea shells,,general,,
ekisunsuzo,[GENERAL_NOUN] a comb,,general,,
ebisunsuzo,[GENERAL_NOUN_PLURAL] combs,,general,,
ekisweko,[GENERAL_NOUN] blister,,general,,
ebisweko,[GENERAL_NOUN_PLURAL] blisters,,general,,
ekisire,[GENERAL_NOUN] obstinate person,,general,,
ebisire,[GENERAL_NOUN_PLURAL] obstinate persons,,general,,
ekisiibo,[GENERAL_NOUN] fasting period,,general,,
ebisiibo,[GENERAL_NOUN_PLURAL] fasting periods,,general,,
ekisingolezo,[GENERAL_NOUN] a broom,,general,,
ebisingolezo,[GENERAL_NOUN_PLURAL] brooms,,general,,
ekitaatnutoole,[GENERAL_NOUN] nonsense,,general,,
ebitaatnutoole,[GENERAL_NOUN_PLURAL] nonsenses,,general,,
ekitabujuguta,[COMMON_ANIMALS_NOUN] civet-cat,,general,,
ebitabujuguta,[COMMON_ANIMALS_NOUN_PLURAL] civet-cats,,general,,
ekitakuli,[GENERAL_NOUN] potato,,general,,
ebitakuli,[GENERAL_NOUN_PLURAL] potatos,,general,,
ekitangaazo,[GENERAL_NOUN] a microscope,,general,,
ebitangaazo,[GENERAL_NOUN_PLURAL] microscopes,,general,,
endyakiro,[COMMON_ANIMALS_NOUN] mouse,,general,,
enfuuzi,[GENERAL_NOUN] orphan,,general,,
engaba,"[GENERAL_NOUN] distribution, giving",,general,,
engambisa,[GENERAL_NOUN] vowels,,general,,
engano,"[GENERAL_NOUN] wheat flour,wheat",,agriculture,,
enganja,[GENERAL_NOUN] white geranium,,general,,
engurumbanyi,[GENERAL_NOUN] untrust-worthy person,,general,,
enfaana,[GENERAL_NOUN] tapeworm,,general,,
enfumbi,[GENERAL_NOUN] swollen glands,,general,,
engabi,[GENERAL_NOUN] bushbuck,,general,,
enganga,[GENERAL_NOUN] loan meat,,general,,
enganjani,[GENERAL_NOUN] friend,,general,,
enganyi,"[GENERAL_NOUN] sorrow, sadness",,general,,
engazi,[GENERAL_NOUN] palm oil,,general,,
engendo,"[GENERAL_NOUN] travels, journeys",,general,,
engoga,[GENERAL_NOUN] open wound,,general,,
engombe,[GENERAL_NOUN] hoot,,general,,
engonzi,"[GENERAL_NOUN] love, affection",,general,,
engoro,[GENERAL_NOUN] reed,,general,,
enguha,"[GENERAL_NOUN] tick, mite",,general,,
engumangane,"[GENERAL_NOUN] hard-hearted, obstinate",,general,,
engururrumi,[GENERAL_NOUN] stunted child,,general,,
enguzi,[GENERAL_NOUN] bribe,,general,,
enio,"[GENERAL_NOUN] buttocks, bottom",,general,,
enjaza,[GENERAL_NOUN] reedbuck,,general,,
engaase,[GENERAL_NOUN] sundried meat,,general,,
engenzi,[GENERAL_NOUN] traveller,,general,,
engo,[COMMON_ANIMALS_NOUN] leopard,,general,,
engoma,"[GOVERNANCE_AND_ADMINISTRATION_NOUN] drum, throne",,general,,
engonge,[GENERAL_NOUN] otter,,general,,
engoye,[GENERAL_NOUN] clothes,,general,,
engungumale,[GENERAL_NOUN] obstinate,,general,,
engwara,[GENERAL_NOUN] horn trumpet,,general,,
enimi,[COMMON_ANIMALS_NOUN] bull,,general,,
enjabule,[GENERAL_NOUN] cropped ears,,agriculture,,
enjagirizi,[GENERAL_NOUN] flatterer,,general,,
enjatu,[NATURE_AND_ENVIRONMENT_NOUN] destructive gale,,general,,
enjoga,[GENERAL_NOUN] water container,,general,,
enjoki,[GENERAL_NOUN] bees,,general,,
enjuba,[GENERAL_NOUN] blood pudding,,general,,
enjunza,[GENERAL_NOUN] jigger,,general,,
enkambi,[GENERAL_NOUN] restcamp,,general,,
enkali,[GENERAL_NOUN] urine,,general,,
enkenko,[GENERAL_NOUN] vinegar,,general,,
enkaanaana enkaina,[COMMON_ANIMALS_NOUN] flowers donkey,,general,,
enkaka,"[GENERAL_NOUN] heart-burn, anthrax",,general,,
enkangaasi,[GENERAL_NOUN] hoof,,general,,
enkanjaiga,[GENERAL_NOUN] times,,general,,
enkaranga,[GENERAL_NOUN] huge elephant,,general,,
enkeeho,[GENERAL_NOUN] waning moon,,general,,
enkere,[GENERAL_NOUN] water frog,,general,,
enkerembe,"[GENERAL_NOUN] infant, baby",,general,,
entaka,"[GENERAL_NOUN] clod, sod",,general,,
entaratazi,"[GENERAL_NOUN] wanderer, roamer",,general,,
enteerabwire,[COMMON_ANIMALS_NOUN] cock,,general,,
entemamuhoro,[GENERAL_NOUN] mantis,,general,,
enterebuki,"[GENERAL_NOUN] shirker, dodger",,general,,
entajumba,[GENERAL_NOUN] guinea fowl,,general,,
entama,[GENERAL_NOUN] mouthful,,general,,
entale,[COMMON_ANIMALS_NOUN] a lion,,general,,
entangatangano,"[GENERAL_NOUN] cross-roads, junction",,general,,
entebe,[GENERAL_NOUN] chair,,general,,
entimagizi,[GOVERNANCE_AND_ADMINISTRATION_NOUN] malachite king-fisher,,general,,
entimbure,[GENERAL_NOUN] mixed food,,general,,
entulirra,[GENERAL_NOUN] self-sown potatoes,,general,,
entungo,[GENERAL_NOUN] sim-sim seeds,,agriculture,,
enturabusa,[GENERAL_NOUN] swollen gland,,general,,
enturro,"[GENERAL_NOUN] sourness, acidity",,general,,
entuuha,[COMMON_ANIMALS_NOUN] crested crane,,general,,
enuuni,[GENERAL_NOUN] duodenum,,general,,
enyaani,[GENERAL_NOUN] coffee-berries,,general,,
enyabatimbo,[GENERAL_NOUN] silkworm,,general,,
enyahukana,[GENERAL_NOUN] difference,,general,,
enyakabara,[GENERAL_NOUN] native-born,,general,,
entumbwe,[COMMON_ANIMALS_NOUN] calf,,general,,
entuumuuki,[GENERAL_NOUN] blankshot,,general,,
entuuru,[GENERAL_NOUN] a fall,,general,,
enyamaiswa,[GENERAL_NOUN] an animal,,general,,
enwa,"[COMMON_ANIMALS_NOUN] hornet,wasps",,general,,
enyabisaaniko,[GENERAL_NOUN] evening star,,general,,
enyakibisi,[GENERAL_NOUN] fresh beans,,agriculture,,
enyamagaro n,"[GENERAL_NOUN] pincers, pliers",,general,,
Ebabara,[GENERAL_VERB] to beware,,general,,
Ebiijagura,[GENERAL_VERB] to belch,,general,,
Ebwa,[GENERAL_VERB] to forget,,general,,
Efuba,[GENERAL_VERB] to hide,,general,,
Ega,[GENERAL_VERB] to learn,,education,,
Egama,[GENERAL_VERB] to starve,,general,,
Egejageja,[GENERAL_VERB] to malinger,,general,,
Egiza,[GENERAL_VERB] to pretend,,general,,
Ehenyenga,[GENERAL_NOUN] forge,,general,,
Eganyiirra,[GENERAL_NOUN] become lazy,,general,,
Egenya,[GENERAL_VERB] To frown,,general,,
Ebaabira,[GENERAL_VERB] to boast,,general,,
Ehiringisa,[GENERAL_VERB] to roll,,general,,
Ehoza,[GENERAL_VERB] to lend,,general,,
Ehuuga,[GENERAL_VERB] to rinse,,general,,
Ekima,[GENERAL_VERB] to bide,,general,,
Ehotora,[GENERAL_VERB] To wind,,general,,
Ebyahyaniza,[GENERAL_VERB] to fidget,,general,,
ejw eka,[GENERAL_NOUN] oneself,,general,,
Ekooka,[GENERAL_VERB] to retch,,general,,
Eoyini,"[GENERAL_NOUN] self, selves",,general,,
Ekubiriza,[GENERAL_NOUN] earnestly entreat,,general,,
Embi,[GENERAL_NOUN] Both,,general,,
Eoka,"[GENERAL_NOUN] self, selves",,general,,
Eoyuma,[GENERAL_NOUN] behind,,general,,
Empooka,[GENERAL_NOUN] survivor,,general,,
Empulirro,[GENERAL_NOUN] ear passage,,general,,
Emyehurro,"[GENERAL_NOUN] conceit, boastfulness",,general,,
Empuku,[GENERAL_NOUN] weevil,,general,,
Empungira,[GENERAL_NOUN] sleeping-sickness,,general,,
Empurizana,[GENERAL_NOUN] Communication,,general,,
Emputa,[GENERAL_NOUN] wounded person,,general,,
Empyo,[COMMON_ANIMALS_NOUN] crocodile,,general,,
Emyehaahiro,"[GENERAL_NOUN] boasting, selfishness",,general,,
Emyehembo,"[GENERAL_NOUN] conceit, boastfulness",,general,,
Emyekuzo,"[GENERAL_NOUN] conceit, boastful",,general,,
Enaanaasi,[GENERAL_NOUN] pineapple,,general,,
Encamparya,[GENERAL_NOUN] withered breasts,,general,,
Encikinya,[GENERAL_NOUN] Flies,,general,,
Endale,[GENERAL_NOUN] wild yam,,general,,
Endangaazi,[GENERAL_NOUN] hartebeest,,general,,
Endeberwamu,"[GENERAL_NOUN] looking-glass, mirror",,general,,
Endebolebo,"[GENERAL_NOUN] border, edge",,general,,
Endambi,[GENERAL_NOUN] tapeworm,,general,,
Encu,[GENERAL_NOUN] fish,,general,,
endamya,"[GENERAL_NOUN] worship, ritual",,general,,
Endehwa,[GENERAL_NOUN] Fine,,general,,
Endimi,"[GENERAL_NOUN] languages, tongues",,general,,
Endobo,[GENERAL_NOUN] fish-hook,,general,,
faabbiina,To work hard,,general,,
feekya,To snuffle,,general,,
fiisa,Die,,general,,
footora,To squash,,general,,
fubeereza,"Dismay, confound",,general,,
fubira,"To punish, frustrate",,general,,
fukaana,To wrestle,,general,,
fuma,"To prod,thrust",,general,,
fumbasa,To clasp,,general,,
fumbata,"To embrance,",,general,,
fumura,"To piece,bore,lance",,general,,
/.omaiso,Have protruding eyes,,general,,
fundura,Uncover,,general,,
amaiso,"Glare, stare",,general,,
funguka,To be djluted.,,general,,
-Funguka obyokunywa ebyo,-dilute those drinks.,,general,,
funyiirra,To turn up,,general,,
furuka,"To desert, migrate",,general,,
fuuha,"To blow, snort",,general,,
jaallima,To talk nonsense,,general,,
jagiriza,To flatter,,general,,
jaguza,"To rejoice, celebrate.",,general,,
jakura,To snatch from,,general,,
jaliga,To squelch (swamp),,general,,
jamajama,"To jabber, babble",,general,,
janjagurwa,Talk irrelevantly,,general,,
Jeera,"To roam, ramble",,general,,
jegeja,To rain persistently,,general,,
jegejege,Loosely,,general,,
jegemera,To totter,,general,,
jegya,To loosen.,,general,,
jeijcza,"To attend, accompany.",,general,,
jenja,To spread rumours,,general,,
jenjeka,To tie loosely.,,general,,
jogeza,C,,general,,
jogolikana,=jol ekana,,general,,
jogorwa,To be talkative,,general,,
jooliima,To speak lazily,,general,,
juba,To weed,,general,,
juguma,"To tremble, shiver",,general,,
jugumbya,"To mobiUze, shake",,general,,
jugunya,"To throw away,",,general,,
jumbuutukira,Pr,,general,,
jumuurra,Pr,,general,,
). amagoba,Practise usury,,general,,
junaaoizibwa,To be responsible,,general,,
jundeera,"To smouJder, glow",,general,,
junira,To rescue,,general,,
junjumuka,To be hairy,,general,,
junjuruma,"To roar, hum",,general,,
junjuura,To buzz,,general,,
jura,To decline (sun),,general,,
juumara,To lie prone,,general,,
jwamba,To be dirty,,general,,
jwambura,To do quickly,,general,,
jwangana,-to mix together,,general,,
-aminah ataaguka muno,-aminah laughs loudly.,,general,,
taahtirra,P1:2,,general,,
taahirirwa,"Be sulky, sullen",,general,,
taahirwa,Pass,,general,,
taamuka,To be torn,,general,,
taamura,To tear,,general,,
tabanganiza,To mix together,,general,,
tadooba,Small kerosene lamp,,general,,
tagata,To become warm,,general,,
taliga,To be busy,,general,,
tamya,To induce disgust,,general,,
tananuka,Inconvincible,,general,,
amaguru,Stand astride,,general,,
tarantuka,To stagger,,general,,
taruka,To trip up,,general,,
tata,To spy on,,general,,
teba,CaJI without reason,,general,,
teega,To gird,,general,,
teeka,To place upright,,legal,,
teekera,To sharpen {knife),,general,,
teerateerana,Collide,,general,,
teereza,", of teera",,general,,
tega,I,,general,,
teganiza,"To trouble, worry",,general,,
tegeijuka,To grow luxuriantly,,general,,
tegeizira,=/oreg,,general,,
tegeka,"To arrange, prepare",,general,,
teguurra,"Pr.,(p f. -tegurwire)",,general,,
televizoni,Cl.9,,general,,
tembccka,To accuse falsely,,general,,
tengeneka,"To steady, balance",,general,,
tenta,To roll,,general,,
terebuka,"To slip, slide",,general,,
temura,Lr,,general,,
teoda,Weave (engora),,general,,
tendeka,"To initiate, educate",,general,,
teoeekaniza,C,,general,,
teneka,{pf. -tcnekere),,general,,
tengeesa,"To shake, tilt",,general,,
terura,Rr,,general,,
tigita,To tickle,,general,,
tiima,"Chop small, mince",,general,,
tiitilra,"To cheep, twitter",,general,,
tiiza,{pf. -tiirize),,general,,
timbun,To beat entimbo,,general,,
tindikuurra,Rr,,general,,
toga,To claw,,legal,,
togolekwa,To speak incoberently,,general,,
togonyora,"To crush, squash",,general,,
toija,Till,,general,,
toka,"To shout, benoisy",,general,,
tokoora,& v.tr,,general,,
toma,To begin,,general,,
tona,To be spotted,,general,,
tondogoorra,T1:,,general,,
tontera,"Dive down, descend",,general,,
tontorrooma,"To gmmble, murmur",,general,,
toonya,"To drizzle, drip",,general,,
toora,To be sharp,,general,,
toora,To dress grandly,,general,,
totatota,To tuga,,general,,
tuguojuka,To be squashed,,general,,
tuguojura,H:,,general,,
tukiriza,"To pester, importune",,general,,
tukuma,"To tremble, shiver",,general,,
tukura,To be red,,general,,
tulingika,T1:,,general,,
tumbisa,Cause to rise,,general,,
tunda,To sell,,general,,
tuoga,Rr,,general,,
tungira,{pf. -tungiire),,general,,
tunguka,To grow tall,,general,,
tungununa,To taste sour,,general,,
tunguuta,"To shake, wobble",,general,,
turo,Cl. 9,,general,,
tutubika,Togurgle,,general,,
tuumuuka,Ascend (smoke),,general,,
tuura,"To dwell, sigh",,general,,
tuurra,To infect,,general,,
tuuya,To sweat,,general,,
tyangya,-To brandish,,general,,
tyaza,To sahrpen,,general,,
tyetyemura,"To cut, tear",,general,,
omuti guli,That tree,,general,,
vikiza,To bold firmly,,general,,
wabimbiri,Viper,,general,,
wakonga,"Pangolin, scaly ant-eater",,general,,
